GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GameOverNew,recensione.controller,RecensioneController,505,89,29,4,92,22,20,4,3,2
GameOverNew,default,HomePageController,285,0,21,0,56,0,17,0,4,0
GameOverNew,listaDesideri.service,ListaDesideriServiceImp,88,18,4,0,26,4,5,1,3,1
GameOverNew,model.entity.cart,CartItem,13,0,0,0,6,0,3,0,3,0
GameOverNew,model.entity.cart,Cart,59,0,6,0,15,0,8,0,5,0
GameOverNew,gestioneUtenti.service,GestioneUtenteServiceImp,89,0,10,0,34,0,11,0,6,0
GameOverNew,gestioneAcquisti.service,GestioneAcquistiServiceImp,196,13,20,0,66,3,20,1,10,1
GameOverNew,model.dao.review,ReviewExtractor,25,0,0,0,6,0,2,0,2,0
GameOverNew,model.dao.review,SqlReviewDao,238,3,10,0,62,2,10,1,5,1
GameOverNew,recensione.service,RecensioneServiceImp,101,18,10,0,33,5,10,1,5,1
GameOverNew,autenticazione.controller,AutenticazioneController,155,0,15,0,35,0,12,0,3,0
GameOverNew,model.dao.storage,SqlDao,54,0,2,0,15,0,3,0,2,0
GameOverNew,model.dao.order,SqlOrderDao,475,3,28,0,126,2,22,1,8,1
GameOverNew,model.dao.order,OrderExtractor,25,0,0,0,6,0,2,0,2,0
GameOverNew,model.entity,Prodotto,78,40,8,0,22,19,19,9,15,9
GameOverNew,model.entity,Review,15,23,0,0,5,12,5,6,5,6
GameOverNew,model.entity,Order,113,0,10,0,32,0,22,0,17,0
GameOverNew,model.entity,ListaDesideri,19,3,0,0,7,1,5,1,5,1
GameOverNew,model.entity,Account,122,22,8,0,39,9,22,5,18,5
GameOverNew,listaDesideri.controller,ListaDesideriController,309,0,21,0,55,0,15,0,3,0
GameOverNew,registrazione.service,RegistrazioneServiceImp,199,0,38,0,51,0,21,0,2,0
GameOverNew,gestioneAcquisti.controller,GestioneAcquistiController,811,0,47,0,142,0,33,0,3,0
GameOverNew,gestioneUtenti.controller,GestioneUtenteController,844,0,69,0,171,0,44,0,3,0
GameOverNew,validate,ValidateForm,173,72,27,11,60,25,26,11,12,6
GameOverNew,gestioneAcquisti,OrdinareDataDecrescente,21,0,4,0,6,0,4,0,2,0
GameOverNew,gestioneAcquisti,RandomString,49,0,2,0,7,0,3,0,2,0
GameOverNew,gestioneAcquisti,OrdinareDataCrescente,21,0,4,0,6,0,4,0,2,0
GameOverNew,gestioneAcquisti,OrdinareCliente,25,0,4,0,6,0,4,0,2,0
GameOverNew,autenticazione.service,AutenticazioneServiceImp,17,21,0,0,6,7,3,2,3,2
GameOverNew,model.dao.account,AccountExtractor,50,0,0,0,11,0,2,0,2,0
GameOverNew,model.dao.account,SqlAccountDao,285,0,14,0,77,0,15,0,8,0
GameOverNew,model.dao.cart,SqlCartDao,132,3,8,0,35,1,8,1,4,1
GameOverNew,model.dao.product,SqlProductDao,320,3,16,0,84,2,16,1,8,1
GameOverNew,model.dao.product,ProductExtractor,55,0,0,0,12,0,2,0,2,0
GameOverNew,registrazione.controller,RegistrazioneController,127,0,15,0,30,0,12,0,3,0
GameOverNew,model.dao.wishlist,SqlListaDesideriDao,107,3,6,0,27,1,6,1,3,1
GameOverNew,gestioneProdotto.service,GestioneProdottoServiceImp,160,13,16,0,51,4,17,1,9,1
GameOverNew,gestioneProdotto.controller,GestioneProdottoController,1038,127,68,8,187,30,44,6,3,2
